depth_m,age_ka,d18O,dD
98.45,2.445,-52.11,
98.56,2.449,-51.43,
98.67,2.453,-50.4,
98.78,2.456,-50.28,
98.89,2.46,-52.11,
99,2.464,-52.56,
99.11,2.468,-50.82,
99.22,2.472,-50.62,
99.33,2.475,-50.04,
99.44,2.479,-50.7,
99.55,2.483,-50.78,
99.66,2.487,-51.29,
99.77,2.491,-51.14,
99.88,2.494,-51.6,
99.99,2.498,-51.56,
100.1,2.502,-51.06,
100.21,2.506,-51.81,
100.32,2.509,-51.96,
100.43,2.513,-51.01,
100.54,2.517,-50.66,
100.65,2.521,-51.05,
100.76,2.524,-50.2,
100.87,2.528,-49.76,
100.98,2.532,-50.33,
101.09,2.535,-50.75,
101.2,2.539,-51.17,
101.31,2.542,-50.11,
101.42,2.546,-50.46,
101.53,2.55,-51.8,
101.64,2.553,-52.02,
101.75,2.557,-51.26,
101.86,2.56,-49.92,
101.97,2.564,-50.78,
102.08,2.568,-50.29,
102.19,2.571,-49.55,
102.3,2.575,-49.63,
102.41,2.578,-50.95,
102.52,2.582,-51.42,
102.63,2.585,-51.67,
102.74,2.589,-50.99,
102.85,2.593,-49.53,
102.96,2.596,-49.83,
103.07,2.6,-49.99,
103.18,2.603,-51.03,
103.29,2.607,-50.39,
103.4,2.61,-50.79,
103.51,2.614,-51.09,
103.62,2.617,-50.49,
103.73,2.621,-50.66,
103.84,2.624,-51.32,
103.95,2.628,-52.06,
104.06,2.632,-50.43,
104.17,2.635,-51.37,
104.28,2.639,-51.12,
104.39,2.642,-49.87,
104.5,2.646,-49,
104.61,2.649,-48.86,
104.72,2.653,-50.97,
104.83,2.656,-50.68,
104.94,2.66,-49.48,
105.05,2.663,-49.93,
105.16,2.666,-49.74,
105.27,2.67,-50.01,
105.38,2.673,-51.02,
105.49,2.677,-51.16,
105.6,2.68,-51.04,
105.71,2.684,-50.71,
105.82,2.688,-51.39,
105.93,2.691,-51.56,
106.04,2.695,-50.87,
106.15,2.699,-49.98,
106.26,2.702,-50.74,
106.37,2.706,-50.74,
106.48,2.709,-52.03,
106.59,2.713,-52.38,
106.7,2.717,-50.99,
106.81,2.72,-51.88,
106.92,2.724,-52.13,
107.03,2.728,-50.1,
107.14,2.731,-49.03,
107.25,2.735,-50.75,
107.36,2.738,-52.3,
107.47,2.742,-52.24,
107.58,2.746,-51.35,
107.69,2.749,-50.53,
107.8,2.753,-49.81,
107.91,2.756,-50.16,
108.02,2.76,-49.74,
108.13,2.763,-48.81,
108.24,2.767,-48.92,
108.35,2.77,-50.42,
108.46,2.774,-51.47,
108.57,2.778,-50.14,
108.68,2.781,-48.98,
108.79,2.785,-48.44,
108.9,2.788,-49.95,
109.01,2.792,-50.22,
109.12,2.795,-50.6,
109.23,2.798,-50.7,
109.34,2.802,-49.8,
109.45,2.805,-49.3,
109.56,2.808,-50.3,
109.67,2.812,-49.55,
109.78,2.815,-49.68,
109.89,2.818,-50.3,
110,2.822,-50.08,
110.11,2.825,-50.58,
110.22,2.829,-50.32,
110.33,2.832,-50.25,
110.44,2.835,-50.77,
110.55,2.839,-51,
110.66,2.842,-50.87,
110.77,2.845,-50.44,
110.88,2.849,-48.44,
110.99,2.852,-48.59,
111.1,2.855,-49.52,
111.21,2.859,-49.58,
111.32,2.862,-48.9,
111.43,2.865,-49.7,
111.54,2.869,-50.75,
111.65,2.872,-50.82,
111.76,2.875,-49.8,
111.87,2.879,-49.42,
111.98,2.882,-48.93,
112.09,2.885,-49.1,
112.2,2.889,-51.04,
112.31,2.892,-51.88,
112.42,2.896,-50.47,
112.53,2.9,-49.72,
112.64,2.903,-50.16,
112.75,2.907,-50.49,
112.86,2.91,-51.31,
112.97,2.914,-51.18,
113.08,2.918,-51,
113.19,2.921,-51.12,
113.3,2.925,-51.36,
113.41,2.928,-52.26,
113.52,2.932,-52.1,
113.63,2.936,-51.23,
113.74,2.939,-51.74,
113.85,2.943,-50.51,
113.96,2.947,-49.43,
114.07,2.95,-49.36,
114.18,2.954,-50.18,
114.29,2.957,-51.43,
114.4,2.961,-51.2,
114.51,2.965,-50.16,
114.62,2.968,-50.01,
114.73,2.972,-50.58,
114.84,2.976,-50.88,
114.95,2.979,-51.11,
115.06,2.983,-50.83,
115.17,2.986,-50.75,
115.28,2.99,-51.7,
115.39,2.994,-51.36,
115.5,2.997,-49.88,
115.61,3.001,-50.57,
115.72,3.005,-52.77,
115.83,3.009,-51.92,
115.94,3.012,-50.94,
116.05,3.016,-50.48,
116.16,3.02,-51.25,
116.27,3.024,-50.84,
116.38,3.028,-49.69,
116.49,3.031,-50.14,
116.6,3.035,-51.11,
116.71,3.039,-51.45,
116.82,3.043,-50.37,
116.93,3.047,-50.94,
117.04,3.05,-51.37,
117.15,3.054,-51.18,
117.26,3.058,-51.4,
117.37,3.062,-51.57,
